Opening balance,01/01/2009,20368.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Dues,01/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,01/01/2009,,,150.00,,,,,,,,,
PG&E,01/16/2009,-169.08,,,,,,,,,,,
Dues received,01/25/2009,2403.00,281.00,185.00,324.00,284.00,335.00,324.00,335.00,335.00,,,
Barbary Coast,01/25/2009,-198.00,,,,,,,,,,,
Terminex,01/25/2009,-52.00,,,,,,,,,,,
Opening balance,02/01/2009,22352.66,-40.00,0.00,0.00,-40.00,0.00,0.00,0.00,0.00,,,
Dues,02/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,02/01/2009,,,150.00,,,,,,,,,
PG&E,02/18/2009,-220.31,,,,,,,,,,,
Dues received,02/19/2009,2519.00,361.00,185.00,324.00,324.00,335.00,320.00,335.00,335.00,,,
Stamps,02/20/2009,-8.40,,,,,,,,,,,
Reimbursement: Stamps,02/20/2009,8.40,,8.40,,,,,,,,,
SFPUC,02/20/2009,-1534.31,,,,,,,,,,,
Sunset Scavengers,02/20/2009,-216.58,,,,,,,,,,,
Opening balance,03/01/2009,22900.46,0.00,7.82,0.00,-40.00,0.00,-4.00,0.00,0.00,,,
Dues,03/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,03/01/2009,,150.00,,,,,,,,,,
Dues received,03/07/2009,2527.00,361.00,185.00,324.00,324.00,335.00,328.00,335.00,335.00,,,
PG&E,03/19/2009,-194.30,,,,,,,,,,,
Sunset Scavengers,03/20/2009,-433.16,,,,,,,,,,,
Terminex,03/20/2009,-52.00,,,,,,,,,,,
Barbary Coast,03/20/2009,-198.00,,,,,,,,,,,
Opening balance,04/01/2009,24550.00,40.00,7.82,0.00,-40.00,0.00,0.00,0.00,0.00,,,
Dues,04/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,04/01/2009,,,150.00,,,,,,,,,
State Farm Insurance,04/08/2009,-1199.25,,,,,,,,,,,
Dues received,04/15/2009,2545.68,361.00,177.18,324.00,364.00,335.00,314.50,335.00,335.00,,,
Door stop,04/15/2009,-9.49,,,,,,,,,,,
Reimbursement: Door stop,04/15/2009,9.49,,,,,,9.49,,,,,
PG&E,04/20/2009,-174.64,,,,,,,,,,,
Terminex,04/21/2009,-52.00,,,,,,,,,,,
Opening balance,05/01/2009,25669.79,80.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,,,
Dues,05/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,05/01/2009,,,250.00,,,,,,,,,
PG&E,05/19/2009,-146.88,,,,,,,,,,,
Dues received,05/21/2009,2267.00,201.00,85.00,324.00,324.00,335.00,328.00,335.00,335.00,,,
Door stop,05/21/2009,-9.49,,,,,,,,,,,
Reimbursement: Door stop,05/21/2009,9.49,,,,,,9.49,,,,,
Barbary Coast,05/29/2009,-594.00,,,,,,,,,,,
Opening balance,06/01/2009,27195.91,-40.00,0.00,0.00,0.00,0.00,13.48,0.00,0.00,,,
Dues,06/01/2009,,-321.00,-335.00,-324.00,-324.00,-335.00,-324.00,-335.00,-335.00,,,
Treasurer credit,06/01/2009,,,150.00,,,,,,,,,
Dues received,06/16/2009,2527.62,361.00,185.00,324.00,324.00,335.00,328.00,335.00,335.62,,,
Terminex,06/18/2009,-156.00,,,,,,,,,,,
PG&E,06/18/2009,-130.56,,,,,,,,,,,
Sunset Scavengers,06/18/2009,-433.16,,,,,,,,,,,
SFPUC,06/22/2009,-2933.11,,,,,,,,,,,
Barbary Coast,06/23/2009,-198.00,,,,,,,,,,,
Discount Builders (lattice),06/24/2009,-61.82,,,,,,,,,,,
